Order,Property ID,Lot Area,Street,Alley,Lot Config,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Foundation,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Central Air,Electrical,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,TotRms AbvGrd,Fireplaces,Garage Type,Garage Cars,Garage Area,Paved Drive,Wood Deck SF,Open Porch SF,Pool Area,Fence,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
1,526301100,31770,Pave,NA,Corner,1Fam,1Story,6,5,1960,1960,Hip,CompShg,BrkFace,Plywood,CBlock,BLQ,639,Unf,0,441,1080,GasA,Y,SBrkr,1,0,1,0,3,1,7,2,Attchd,2,528,P,210,62,0,NA,5,2010,WD ,Normal,215000
2,526350040,11622,Pave,NA,Inside,1Fam,1Story,5,6,1961,1961,Gable,CompShg,VinylSd,VinylSd,CBlock,Rec,468,LwQ,144,270,882,GasA,Y,SBrkr,0,0,1,0,2,1,5,0,Attchd,1,730,Y,140,0,0,MnPrv,6,2010,WD ,Normal,105000
3,526351010,14267,Pave,NA,Corner,1Fam,1Story,6,6,1958,1958,Hip,CompShg,Wd Sdng,Wd Sdng,CBlock,ALQ,923,Unf,0,406,1329,GasA,Y,SBrkr,0,0,1,1,3,1,6,0,Attchd,1,312,Y,393,36,0,NA,6,2010,WD ,Normal,172000
4,526353030,11160,Pave,NA,Corner,1Fam,1Story,7,5,1968,1968,Hip,CompShg,BrkFace,BrkFace,CBlock,ALQ,1065,Unf,0,1045,2110,GasA,Y,SBrkr,1,0,2,1,3,1,8,2,Attchd,2,522,Y,0,0,0,NA,4,2010,WD ,Normal,244000
5,527105010,13830,Pave,NA,Inside,1Fam,2Story,5,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,PConc,GLQ,791,Unf,0,137,928,GasA,Y,SBrkr,0,0,2,1,3,1,6,1,Attchd,2,482,Y,212,34,0,MnPrv,3,2010,WD ,Normal,189900
6,527105030,9978,Pave,NA,Inside,1Fam,2Story,6,6,1998,1998,Gable,CompShg,VinylSd,VinylSd,PConc,GLQ,602,Unf,0,324,926,GasA,Y,SBrkr,0,0,2,1,3,1,7,1,Attchd,2,470,Y,360,36,0,NA,6,2010,WD ,Normal,195500
7,527127150,4920,Pave,NA,Inside,TwnhsE,1Story,8,5,2001,2001,Gable,CompShg,CemntBd,CmentBd,PConc,GLQ,616,Unf,0,722,1338,GasA,Y,SBrkr,1,0,2,0,2,1,6,0,Attchd,2,582,Y,0,0,0,NA,4,2010,WD ,Normal,213500
8,527145080,5005,Pave,NA,Inside,TwnhsE,1Story,8,5,1992,1992,Gable,CompShg,HdBoard,HdBoard,PConc,ALQ,263,Unf,0,1017,1280,GasA,Y,SBrkr,0,0,2,0,2,1,5,0,Attchd,2,506,Y,0,82,0,NA,1,2010,WD ,Normal,191500
9,527146030,5389,Pave,NA,Inside,TwnhsE,1Story,8,5,1995,1996,Gable,CompShg,CemntBd,CmentBd,PConc,GLQ,1180,Unf,0,415,1595,GasA,Y,SBrkr,1,0,2,0,2,1,5,1,Attchd,2,608,Y,237,152,0,NA,3,2010,WD ,Normal,236500
10,527162130,7500,Pave,NA,Inside,1Fam,2Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,PConc,Unf,0,Unf,0,994,994,GasA,Y,SBrkr,0,0,2,1,3,1,7,1,Attchd,2,442,Y,140,60,0,NA,6,2010,WD ,Normal,189000
